galname,free_nopsf,free_psf,fixed_nopsf,fixed_psf
VFID1831-NGC5145,0.0,0.0,0.0,0.0
VFID1832-NGC5336,0.0,0.0,0.0,0.0
VFID1850-NGC4117,0.0,0.0,0.0,1.0
VFID1855-NGC4111,0.0,0.0,0.0,0.0
VFID1879-NGC5731,0.0,0.0,0.0,0.0
VFID1881-NGC5730,0.0,0.0,0.0,0.0
VFID1883-IC0749,0.0,0.0,0.0,0.0
VFID1886-IC0750,0.0,0.0,0.0,0.0
VFID1900-UGC08756,0.0,0.0,0.0,0.0
VFID1901-NGC4143,0.0,0.0,0.0,0.0
VFID1915-NGC5900,0.0,0.0,0.0,1.0
VFID1928-IC1265,0.0,0.0,0.0,0.0
VFID1929-UGC06805,0.0,0.0,0.0,0.0
VFID1930-NGC5899,0.0,0.0,0.0,0.0
VFID1932-MESSIER063,0.0,0.0,0.0,0.0
VFID1934-IZw097,0.0,0.0,0.0,0.0
VFID1935-NGC2798,0.0,0.0,0.0,1.0
VFID1952-UGC07129,0.0,0.0,0.0,0.0
VFID1955-NGC5290,0.0,0.0,0.0,0.0
VFID1956-MRK1484,0.0,0.0,0.0,0.0
VFID1961-NGC5930,0.0,0.0,0.0,1.0
VFID1963-NGC4490,0.0,0.0,0.0,0.0
VFID1971-NGC3600,0.0,0.0,0.0,0.0
VFID1979-NGC5289,0.0,0.0,0.0,0.0
VFID1986-NGC3184,0.0,0.0,0.0,0.0
VFID1990-NGC5320,0.0,0.0,0.0,0.0
VFID1991-UGC10200,0.0,1.0,0.0,0.0
VFID2001-NGC4625,0.0,0.0,0.0,0.0
VFID2002-NGC5630,0.0,0.0,0.0,0.0
VFID2011-NGC4618,0.0,0.0,0.0,0.0
VFID2038-ARK527,0.0,0.0,0.0,0.0
VFID2039-NGC6339,0.0,0.0,0.0,0.0
VFID2052-UGC09858,0.0,0.0,0.0,0.0
VFID2059-NGC5371,0.0,0.0,0.0,0.0
VFID2060-NGC5704,0.0,0.0,0.0,0.0
VFID2063-NGC5950,0.0,0.0,0.0,0.0
VFID2075-NGC5354,1.0,1.0,1.0,1.0
VFID2081-MRK0462,0.0,1.0,0.0,1.0
VFID2082-NGC2853,0.0,0.0,0.0,0.0
VFID2085-UGC08841,0.0,1.0,0.0,1.0
VFID2088-NGC2844,0.0,0.0,0.0,0.0
VFID2089-NGC2782,0.0,0.0,0.0,0.0
VFID2094-NGC6675,0.0,0.0,0.0,0.0
VFID2101-NGC5311,0.0,0.0,0.0,0.0
VFID2103-NGC5313,0.0,0.0,0.0,0.0
VFID2115-NGC4145,0.0,0.0,0.0,0.0
VFID2142-IC4336,0.0,0.0,0.0,0.0
VFID2146-NGC5337,0.0,0.0,0.0,0.0
VFID2150-NGC6585,0.0,0.0,0.0,0.0
VFID2156-NGC5326,0.0,0.0,0.0,0.0
VFID2171-NGC4151,1.0,1.0,0.0,-999.0
VFID2174-NGC4369,0.0,0.0,0.0,0.0
VFID2211-UGC09291,0.0,0.0,0.0,0.0
VFID2224-UGC11132,0.0,1.0,0.0,0.0
VFID2226-NGC3665,0.0,0.0,0.0,0.0
VFID2227-NGC5112,0.0,0.0,0.0,0.0
VFID2237-UGC05577,0.0,0.0,0.0,0.0
VFID2241-NGC3658,0.0,1.0,0.0,1.0
VFID2256-NGC5303,0.0,0.0,0.0,0.0
VFID2262-NGC5403,0.0,1.0,0.0,0.0
